id,gm_time_s,extend_g_time_s
7339,0.0025,0.0022
7340,0.0032,0.0028
7341,0.0023,0.002
7342,0.003,0.0026
7343,0.0034,0.003
7344,0.0024,0.002
7345,0.0021,0.0018
7346,0.0015,0.0013
7347,0.0022,0.0019
7348,0.0036,0.0031
7349,0.0025,0.0021
7350,0.003,0.003
7351,0.0018,0.0015
7352,0.0021,0.0018
7353,0.0025,0.0021
7354,0.0042,0.0032
7355,0.0033,0.0028
7356,0.0021,0.0018
7357,0.0016,0.0013
7358,0.0047,0.0041
7359,0.0035,0.0031
7360,0.0026,0.0022
7361,0.0031,0.0026
7362,0.004,0.0036
7363,0.0024,0.0022
7364,0.004,0.0036
7365,0.0035,0.0035
7366,0.0022,0.002
7367,0.0033,0.0024
7368,0.0049,0.0046
7369,0.004,0.0035
7370,0.0025,0.0022
7371,0.0053,0.0046
7372,0.0051,0.0042
7373,0.002,0.0017
7374,0.0028,0.0023
7375,0.0029,0.0024
7376,0.0038,0.0038
7377,0.0014,0.0012
7378,0.0054,0.004
7379,0.0027,0.0024
7380,0.0024,0.002
7381,0.0036,0.0032
7382,0.0033,0.0029
7383,0.0021,0.0018
7384,0.0022,0.002
7385,0.0029,0.0025
7386,0.0025,0.0022
7387,0.0026,0.0023
7388,0.0041,0.0035
7389,0.0023,0.002
7390,0.0018,0.0016
7391,0.0015,0.0012
7392,0.0028,0.003
7393,0.0039,0.0033
7394,0.0031,0.0022
7395,0.0046,0.004
7396,0.0027,0.0023
7397,0.0037,0.0031
7398,0.0037,0.0032
7399,0.0035,0.003
7400,0.002,0.0018
7401,0.004,0.0034
7402,0.0025,0.0022
7403,0.0037,0.0032
7404,0.0023,0.0019
7405,0.0045,0.0046
7406,0.0023,0.002
7407,0.0021,0.0018
7408,0.0024,0.0015
7409,0.0016,0.0015
7410,0.0018,0.0015
7411,0.0025,0.0023
7412,0.0028,0.0024
7413,0.0032,0.0028
7414,0.0034,0.003
7415,0.0047,0.0041
7416,0.0039,0.0033
7417,0.0037,0.0032
7418,0.0033,0.0033
7419,0.0016,0.0013
7420,0.0032,0.0028
7421,0.0028,0.0024
7422,0.0046,0.0035
7423,0.0014,0.0012
7424,0.0029,0.0025
7425,0.0039,0.0034
7426,0.0035,0.003
7427,0.0037,0.003
7428,0.0034,0.0029
7429,0.0039,0.0033
7430,0.0037,0.0031
7431,0.0017,0.0015
7432,0.0026,0.0028
7433,0.003,0.0026
7434,0.0035,0.0031
7435,0.0014,0.0013
7436,0.0027,0.0024
7437,0.0032,0.0022
7438,0.0036,0.0032
7439,0.0039,0.0034
7440,0.0033,0.0028
7441,0.0043,0.0037
7442,0.0042,0.0036
7443,0.0043,0.0037
7444,0.0027,0.0023
7445,0.0015,0.002
7446,0.0032,0.0027
7447,0.0016,0.0013
7448,0.0038,0.0032
7449,0.0035,0.003
7450,0.0036,0.0025
7451,0.0037,0.0033
7452,0.0025,0.0021
7453,0.0033,0.0029
7454,0.0034,0.0029
7455,0.0022,0.0019
7456,0.0035,0.0029
7457,0.0023,0.0018
7458,0.0045,0.0044
7459,0.0044,0.0037
7460,0.0054,0.0048
7461,0.0055,0.0042
7462,0.0033,0.0029
7463,0.0042,0.0036
7464,0.0035,0.003
7465,0.0033,0.0028
7466,0.0035,0.003
7467,0.0036,0.003
7468,0.003,0.0026
7469,0.0034,0.0037
7470,0.0025,0.0021
7471,0.005,0.0043
7472,0.0036,0.003
7473,0.0031,0.002
7474,0.0046,0.0041
7475,0.002,0.0017
7476,0.0022,0.0019
7477,0.0024,0.002
7478,0.0021,0.0018
7479,0.0034,0.0029
7480,0.0032,0.0029
7481,0.0026,0.0022
7482,0.0041,0.0042
7483,0.0034,0.003
7484,0.0027,0.0023
7485,0.0034,0.0029
7486,0.0048,0.0042
7487,0.0046,0.0035
7488,0.0026,0.0022
7489,0.0039,0.0034
7490,0.0052,0.0046
7491,0.0019,0.0016
7492,0.0045,0.0038
7493,0.0022,0.0019
7494,0.0025,0.0028
7495,0.0036,0.0031
7496,0.0028,0.0024
7497,0.0027,0.0023
7498,0.0051,0.0043
7499,0.0047,0.0035
7500,0.0031,0.0027
7501,0.0038,0.0033
7502,0.0039,0.0034
7503,0.0026,0.0022
7504,0.0027,0.0024
7505,0.0026,0.0023
7506,0.0016,0.0013
7507,0.0028,0.003
7508,0.0032,0.0027
7509,0.0025,0.0022
7510,0.002,0.0017
7511,0.0023,0.002
7512,0.0024,0.0021
7513,0.0033,0.0028
7514,0.0035,0.0024
7515,0.0031,0.0027
7516,0.002,0.0018
7517,0.002,0.0016
7518,0.0033,0.0029
7519,0.0026,0.0022
7520,0.0037,0.0031
7521,0.0054,0.005
7522,0.0034,0.003
7523,0.005,0.0043
7524,0.0042,0.0036
7525,0.0034,0.003
7526,0.0038,0.0027
7527,0.0028,0.0024
7528,0.0022,0.0019
7529,0.0035,0.003
7530,0.0046,0.0038
7531,0.0032,0.0026
7532,0.002,0.0016
7533,0.0047,0.0047
7534,0.0038,0.0034
7535,0.0042,0.0036
7536,0.003,0.0026
7537,0.0039,0.0034
7538,0.0021,0.0019
7539,0.0033,0.0022
7540,0.003,0.0025
7541,0.0022,0.0019
7542,0.0031,0.0026
7543,0.0024,0.0021
7544,0.0039,0.0035
7545,0.0037,0.0034
7546,0.0041,0.0044
7547,0.0028,0.0025
7548,0.0036,0.0033
7549,0.002,0.0018
7550,0.0038,0.0033
7551,0.0017,0.0015
7552,0.0058,0.0044
7553,0.0014,0.0012
7554,0.0017,0.0015
7555,0.004,0.0035
7556,0.004,0.0035
7557,0.0043,0.0037
7558,0.0026,0.0022
7559,0.0033,0.0035
7560,0.0022,0.0019
7561,0.0029,0.0025
7562,0.0037,0.0031
7563,0.0029,0.0025
7564,0.0032,0.0028
7565,0.0022,0.002
7566,0.0047,0.0035
7567,0.0038,0.0033
7568,0.0025,0.0022
7569,0.0021,0.0018
7570,0.0027,0.0023
7571,0.0016,0.0014
7572,0.0017,0.0015
7573,0.003,0.0026
7574,0.0035,0.0036
7575,0.004,0.0037
7576,0.0025,0.0022
7577,0.0035,0.0031
7578,0.0055,0.005
7579,0.0038,0.0026
7580,0.0019,0.0017
7581,0.0048,0.004
7582,0.0045,0.0039
7583,0.0026,0.0022
7584,0.002,0.0017
7585,0.0048,0.0048
7586,0.0046,0.004
7587,0.0048,0.0041
7588,0.0027,0.0023
7589,0.0027,0.0022
7590,0.0019,0.0015
7591,0.002,0.0017
7592,0.0048,0.0035
7593,0.0021,0.0018
7594,0.0045,0.004
7595,0.0031,0.0028
7596,0.0028,0.0024
7597,0.0034,0.0029
